ticker,name,sector
MMM,3M,Other
AOS,A. O. Smith,Industry & transport
AES,AES Corporation,Utilities & power
APA,APA Corporation,Energy
ASML,ASML Holding,Tech & connectivity
T,AT&T,Tech & connectivity
ABBV,AbbVie,Health & life science
ABT,Abbott Laboratories,Health & life science
ACN,Accenture,Tech & connectivity
ADBE,Adobe Inc.,Tech & connectivity
AMD,Advanced Micro Devices,Tech & connectivity
AFL,Aflac,Money & risk
A,Agilent Technologies,Health & life science
APD,Air Products,Materials & mining
ABNB,Airbnb,Hi-fi living
AKAM,Akamai Technologies,Tech & connectivity
ALB,Albemarle Corporation,Materials & mining
ARE,Alexandria Real Estate Equities,Real estate & property
ALGN,Align Technology,Health & life science
ALLE,Allegion,Services
LNT,Alliant Energy,Utilities & power
ALL,Allstate,Money & risk
ALNY,Alnylam Pharmaceuticals,Health & life science
GOOGL,Alphabet Inc. (Class A),Tech & connectivity
GOOG,Alphabet Inc. (Class C),Tech & connectivity
MO,Altria,Everyday essentials
AMZN,Amazon,Tech & connectivity
AMCR,Amcor,Industry & transport
AEE,Ameren,Utilities & power
AEP,American Electric Power,Utilities & power
AXP,American Express,Money & risk
AIG,American International Group,Money & risk
AMT,American Tower,Real estate & property
AWK,American Water Works,Utilities & power
AMP,Ameriprise Financial,Money & risk
AME,Ametek,Industry & transport
AMGN,Amgen,Health & life science
APH,Amphenol,Tech & connectivity
ADI,Analog Devices,Tech & connectivity
AON,Aon plc,Money & risk
APO,Apollo Global Management,Money & risk
APP,AppLovin,Services
AAPL,Apple Inc.,Tech & connectivity
AMAT,Applied Materials,Tech & connectivity
APTV,Aptiv,Hi-fi living
ACGL,Arch Capital Group,Money & risk
ADM,Archer Daniels Midland,Everyday essentials
ARES,Ares Management,Money & risk
ANET,Arista Networks,Tech & connectivity
ARM,Arm Holdings,Tech & connectivity
AJG,Arthur J. Gallagher & Co.,Money & risk
AIZ,Assurant,Money & risk
TEAM,Atlassian,Tech & connectivity
ATO,Atmos Energy,Utilities & power
AZO,AutoZone,Hi-fi living
ADSK,Autodesk,Tech & connectivity
ADP,Automatic Data Processing,Tech & connectivity
AVB,AvalonBay Communities,Real estate & property
AVY,Avery Dennison,Industry & transport
AXON,Axon Enterprise,Industry & transport
BK,BNY Mellon,Money & risk
BXP,"BXP, Inc.",Real estate & property
BKR,Baker Hughes,Energy
BALL,Ball Corporation,Industry & transport
BAC,Bank of America,Money & risk
BAX,Baxter International,Health & life science
BDX,Becton Dickinson,Health & life science
BRK-B,Berkshire Hathaway,Money & risk
BBY,Best Buy,Hi-fi living
TECH,Bio-Techne,Health & life science
BIIB,Biogen,Health & life science
BLK,BlackRock,Money & risk
BX,Blackstone Inc.,Money & risk
XYZ,"Block, Inc.",Tech & connectivity
BA,Boeing,Industry & transport
BKNG,Booking Holdings,Hi-fi living
BSX,Boston Scientific,Health & life science
BMY,Bristol Myers Squibb,Health & life science
AVGO,Broadcom,Tech & connectivity
BR,Broadridge Financial Solutions,Tech & connectivity
BRO,Brown & Brown,Money & risk
BF-B,Brown–Forman,Everyday essentials
BLDR,Builders FirstSource,Industry & transport
BG,Bunge Global,Everyday essentials
BZFD,"BuzzFeed, Inc.",Tech & connectivity
CHRW,C.H. Robinson,Industry & transport
CBRE,CBRE Group,Real estate & property
CDW,CDW Corporation,Tech & connectivity
CF,CF Industries,Everyday essentials
CME,CME Group,Money & risk
CMS,CMS Energy,Utilities & power
CRH,CRH plc,Materials & mining
CSX,CSX Corporation,Industry & transport
CVS,CVS Health,Health & life science
CDNS,Cadence Design Systems,Tech & connectivity
CPT,Camden Property Trust,Real estate & property
CPB,Campbell's Company (The),Everyday essentials
COF,Capital One,Money & risk
CAH,Cardinal Health,Health & life science
CCL,Carnival,Hi-fi living
CARR,Carrier Global,Industry & transport
CVNA,Carvana,Hi-fi living
CAT,Caterpillar Inc.,Industry & transport
CBOE,Cboe Global Markets,Money & risk
COR,Cencora,Health & life science
CNC,Centene Corporation,Health & life science
CNP,CenterPoint Energy,Utilities & power
CRL,Charles River Laboratories,Health & life science
SCHW,Charles Schwab Corporation,Money & risk
CHTR,Charter Communications,Tech & connectivity
CVX,Chevron Corporation,Energy
CMG,Chipotle Mexican Grill,Hi-fi living
CB,Chubb Limited,Money & risk
CHD,Church & Dwight,Everyday essentials
CIEN,Ciena,Tech & connectivity
CI,Cigna,Health & life science
CINF,Cincinnati Financial,Money & risk
CTAS,Cintas,Services
CSCO,Cisco,Tech & connectivity
C,Citigroup,Money & risk
CFG,Citizens Financial Group,Money & risk
CLX,Clorox,Everyday essentials
CSGP,CoStar Group,Real estate & property
KO,Coca-Cola Company (The),Everyday essentials
CCEP,Coca-Cola Europacific Partners,Everyday essentials
CTSH,Cognizant,Tech & connectivity
COIN,Coinbase,Money & risk
CL,Colgate-Palmolive,Everyday essentials
CMCSA,Comcast,Tech & connectivity
FIX,Comfort Systems USA,Industry & transport
CAG,Conagra Brands,Everyday essentials
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities & power
STZ,Constellation Brands,Everyday essentials
CEG,Constellation Energy,Utilities & power
COO,Cooper Companies (The),Health & life science
CPRT,Copart,Services
GLW,Corning Inc.,Tech & connectivity
CPAY,Corpay,Tech & connectivity
CTVA,Corteva,Everyday essentials
COST,Costco,Hi-fi living
CTRA,Coterra,Energy
CRWD,CrowdStrike,Tech & connectivity
CCI,Crown Castle,Real estate & property
CMI,Cummins,Industry & transport
DHI,D. R. Horton,Industry & transport
DTE,DTE Energy,Utilities & power
DVA,DaVita,Health & life science
DHR,Danaher Corporation,Health & life science
DRI,Darden Restaurants,Hi-fi living
DDOG,Datadog,Tech & connectivity
DECK,Deckers Brands,Hi-fi living
DE,Deere & Company,Industry & transport
DELL,Dell Technologies,Tech & connectivity
DAL,Delta Air Lines,Hi-fi living
DVN,Devon Energy,Energy
DXCM,Dexcom,Health & life science
FANG,Diamondback Energy,Energy
DLR,Digital Realty,Real estate & property
DG,Dollar General,Hi-fi living
DLTR,Dollar Tree,Hi-fi living
D,Dominion Energy,Utilities & power
DPZ,Domino's,Hi-fi living
DASH,DoorDash,Tech & connectivity
DOV,Dover Corporation,Industry & transport
DOW,Dow Inc.,Materials & mining
DD,DuPont,Materials & mining
DUK,Duke Energy,Utilities & power
EOG,EOG Resources,Energy
EPAM,EPAM Systems,Tech & connectivity
EQT,EQT Corporation,Energy
ETN,Eaton Corporation,Industry & transport
ECL,Ecolab,Materials & mining
EIX,Edison International,Utilities & power
EW,Edwards Lifesciences,Health & life science
EA,Electronic Arts,Tech & connectivity
ELV,Elevance Health,Health & life science
EME,Emcor,Industry & transport
EMR,Emerson Electric,Industry & transport
ETR,Entergy,Utilities & power
EFX,Equifax,Services
EQIX,Equinix,Real estate & property
EQR,Equity Residential,Real estate & property
ERIE,Erie Indemnity,Money & risk
ESS,Essex Property Trust,Real estate & property
EL,Estée Lauder Companies (The),Everyday essentials
EG,Everest Group,Money & risk
EVRG,Evergy,Utilities & power
ES,Eversource Energy,Utilities & power
EXC,Exelon,Utilities & power
EXE,Expand Energy,Energy
EXPE,Expedia Group,Hi-fi living
EXPD,Expeditors International,Industry & transport
EXR,Extra Space Storage,Real estate & property
XOM,ExxonMobil,Energy
FFIV,"F5, Inc.",Tech & connectivity
FDS,FactSet,Money & risk
FICO,Fair Isaac,Tech & connectivity
FAST,Fastenal,Industry & transport
FDX,FedEx,Industry & transport
FRT,Federal Realty Investment Trust,Real estate & property
FER,Ferrovial,Industry & transport
