ticker,industry_generic
MMM,Other
AOS,Industry & transport
AES,Utilities & power
APA,Energy
ASML,Tech & connectivity
T,Tech & connectivity
ABBV,Health & life science
ABT,Health & life science
ACN,Tech & connectivity
ADBE,Tech & connectivity
AMD,Tech & connectivity
AFL,Money & risk
A,Health & life science
APD,Materials & mining
ABNB,Hi-fi living
AKAM,Tech & connectivity
ALB,Materials & mining
ARE,Real estate & property
ALGN,Health & life science
ALLE,Services
LNT,Utilities & power
ALL,Money & risk
ALNY,Health & life science
GOOGL,Tech & connectivity
GOOG,Tech & connectivity
MO,Everyday essentials
AMZN,Tech & connectivity
AMCR,Industry & transport
AEE,Utilities & power
AEP,Utilities & power
AXP,Money & risk
AIG,Money & risk
AMT,Real estate & property
AWK,Utilities & power
AMP,Money & risk
AME,Industry & transport
AMGN,Health & life science
APH,Tech & connectivity
ADI,Tech & connectivity
AON,Money & risk
APO,Money & risk
APP,Services
AAPL,Tech & connectivity
AMAT,Tech & connectivity
APTV,Hi-fi living
ACGL,Money & risk
ADM,Everyday essentials
ARES,Money & risk
ANET,Tech & connectivity
ARM,Tech & connectivity
AJG,Money & risk
AIZ,Money & risk
TEAM,Tech & connectivity
ATO,Utilities & power
AZO,Hi-fi living
ADSK,Tech & connectivity
ADP,Tech & connectivity
AVB,Real estate & property
AVY,Industry & transport
AXON,Industry & transport
BK,Money & risk
BXP,Real estate & property
BKR,Energy
BALL,Industry & transport
BAC,Money & risk
BAX,Health & life science
BDX,Health & life science
BRK-B,Money & risk
BBY,Hi-fi living
TECH,Health & life science
BIIB,Health & life science
BLK,Money & risk
BX,Money & risk
XYZ,Tech & connectivity
BA,Industry & transport
BKNG,Hi-fi living
BSX,Health & life science
BMY,Health & life science
AVGO,Tech & connectivity
BR,Tech & connectivity
BRO,Money & risk
BF-B,Everyday essentials
BLDR,Industry & transport
BG,Everyday essentials
BZFD,Tech & connectivity
CHRW,Industry & transport
CBRE,Real estate & property
CDW,Tech & connectivity
CF,Everyday essentials
CME,Money & risk
CMS,Utilities & power
CRH,Materials & mining
CSX,Industry & transport
